,state reward,moving average state reward,FMI,cmm similarity
0,-2114.3449252523483,-2114.3449252523483,0.27373981515053164,0.7241379
1,-1493.8653029054403,-2052.2969630176576,0.36204648880085,0.51907355
2,-1880.9137686863542,-2035.1586435845275,0.29627379912661894,0.5586354
3,-1602.4804091215133,-1991.890820138226,0.34636575849346696,0.50700283
4,-1303.053029102087,-1923.007041034612,0.41578413125382013,0.5802139
5,-1121.2435877114533,-1842.8306957022962,0.43901138622155245,0.5297131
6,-781.0196695595979,-1736.6495930880264,0.5003829479440967,0.54067796
7,-1004.1894571274519,-1663.4035794919691,0.46287876239331954,0.50511944
8,-796.6143194317817,-1576.7246534859505,0.4047755832952834,0.40938628
9,-467.1013375163078,-1465.7623218889862,0.46021501354942096,0.3297832
10,-453.3564122676849,-1364.5217309268562,0.5028242809746348,0.4159068
11,-767.767741933465,-1304.846332027517,0.43905521397726055,0.34653917
12,-457.4783634722233,-1220.1095351719878,0.5490715496181111,0.461701
13,-556.5290322482585,-1153.751484879615,0.47376699906974623,0.42882776
14,-591.9287175357341,-1097.5692081452269,0.4049956731713864,0.28122795
15,-787.5312352359294,-1066.5654108542972,0.42548960154739013,0.29681346
16,-200.6764751970768,-979.9765172885751,0.5634269412372819,0.3714097
17,-414.91896144747733,-923.4707617044654,0.5367418917420383,0.4765808
18,-485.7249409854412,-879.696179632563,0.5729425871968,0.48907104
19,-380.13312351107595,-829.7398740204144,0.47005808044466785,0.34504792
20,-267.9095200419426,-773.5568386225673,0.5182622939187579,0.40361992
21,-701.7970102280378,-766.3808557831144,0.46490982647114254,0.44652405
22,-848.1353264987468,-774.5563028546776,0.5776548341901789,0.59667194
23,-392.72840282320976,-736.3735128515309,0.4609494487387702,0.3599641
24,-532.5774980217218,-715.99391136855,0.590992971058287,0.65927976
25,-252.86640439629554,-669.6811606713246,0.49769636121840927,0.3023126
26,-597.3834775596857,-662.4513923601608,0.6316601155921577,0.72396857
27,-531.9472856044769,-649.4009816845924,0.5320804979522794,0.42746988
28,-136.46829267144201,-598.1077127832773,0.682598552826215,0.5315985
29,-614.7274586856365,-599.7696873735132,0.5820910013806029,0.5605536
30,-898.6734854459762,-629.6600671807596,0.4127160541403492,0.5872576
31,-552.3627065330744,-621.9303311159911,0.5422833743070616,0.50813276
32,-531.9712037712335,-612.9344183815153,0.5859808354809607,0.58456975
33,-456.99984264075755,-597.3409608074396,0.5495687691619299,0.5745367
34,-344.18284813463686,-572.0251495401594,0.5704513289636621,0.5735736
35,-505.57466560900207,-565.3801011470438,0.6452773683232529,0.72138834
36,-780.4533438146115,-586.8874254138005,0.52990366898325,0.68143713
37,-532.6007867783308,-581.4587615502536,0.5468774725057362,0.59859157
38,-671.8546026647091,-590.4983456616992,0.587265957232404,0.8167614
39,-435.976868596673,-575.0461979551966,0.5768160575264799,0.5544077
40,-866.2546026647091,-604.1670384261479,0.5383792219482713,0.76419216
41,-447.4067663311958,-588.4910112166527,0.6589523607640133,0.8035714
42,-416.80959874391556,-571.322869969379,0.6687638871078911,0.7934322
43,-491.1589299678802,-563.3064759692292,0.6882861153738138,0.7096774
44,-410.74571204185486,-548.0503995764917,0.695588161688684,0.6893204
45,-534.4300550729037,-546.6883651261329,0.5716576705091747,0.7456359
46,-354.97529503405093,-527.5170581169248,0.6748782838511619,0.72068965
47,-847.639496448636,-559.5293019500959,0.6272194634409466,0.87
48,-707.25743509233,-574.3021152643194,0.4590219339050336,0.5938607
49,-874.6287962228059,-604.3347833601681,0.5970548857286461,0.7574316
50,-588.4080251812935,-602.7421075422806,0.5967433822214063,0.68979186
51,-478.55137686729427,-590.3230344747819,0.6620370601168971,0.63234276
52,-1064.250826114416,-637.7158136387454,0.4491611870570941,0.6
53,-629.8092840313911,-636.9251606780101,0.6197344362613981,0.74891305
54,-798.4256490975619,-653.0752095199654,0.5087249408416665,0.6443418
55,-772.5343823611736,-665.0211268040863,0.5784688289871357,0.5574792
56,-708.9819039970636,-669.417204523384,0.5956579672674739,0.6122931
57,-551.7938631027937,-657.654870381325,0.6329692571324737,0.72682446
58,-588.9721479088067,-650.7865981340732,0.7253761634492178,0.7838078
59,-555.4051927536726,-641.2484575960332,0.7097096215489572,0.8961353
60,-898.6618410676717,-666.989795943197,0.5526034967054012,0.79253733
61,-626.8023603409529,-662.9710523829726,0.6467895465895145,0.7416174
62,-533.1721479088068,-649.9911619355561,0.6595377717580582,0.67865705
63,-1174.6640440553426,-702.4584501475348,0.5630263776754599,0.83174604
64,-567.4177812695503,-688.9543832597363,0.7051242280957504,0.8816568
65,-721.6461054265499,-692.2235554764177,0.6489153834904046,0.8995696
66,-678.3853658348322,-690.8397365122592,0.5722110600253745,0.61167514
67,-476.1809598594904,-669.3738588469823,0.5976252496469999,0.6824782
68,-892.0256490975618,-691.6390378720403,0.5021599095942229,0.71929824
69,-1012.6313139230012,-723.7382654771363,0.5358207563001551,0.7620438
70,-385.55861525535585,-689.9203004549584,0.6797882263030585,0.6937648
71,-653.1800157219171,-686.2462719816543,0.650086785539818,0.85128206
72,-437.2105428814888,-661.3426990716378,0.6288343917977867,0.7484144
73,-647.80991345644,-659.989420510118,0.6121521273347514,0.6705461
74,-762.4423288613558,-670.2347113452417,0.5246959634527175,0.7226776
75,-843.4111723065377,-687.5523574413714,0.5785328284863391,0.7256944
76,-649.0042486160993,-683.6975465588442,0.5680471153088066,0.64660937
77,-734.7929189652205,-688.8070837994818,0.5426291368565753,0.6117318
78,-506.1661683708429,-670.5429922566179,0.7262743491893312,0.81897384
79,-694.0127458691596,-672.8899676178721,0.5455901754943118,0.6451943
80,-418.5645948082209,-647.457430336907,0.786420966690674,0.86443824
81,-458.2092840313911,-628.5326157063554,0.7528160161985358,0.97442454
82,-450.39543666541573,-610.7188978022615,0.7490513539497765,0.9099099
83,-1008.439496448636,-650.490957666899,0.5082016347433062,0.62391305
84,-707.2029897660017,-656.1621608768093,0.6141259122923532,0.74972314
85,-353.12682926058767,-625.8586277151871,0.7302537010693979,0.7153338
86,-552.9614476680755,-618.568909710476,0.6677533547038915,0.7868339
87,-824.163965383172,-639.1284152777455,0.5560954633036462,0.62189513
88,-281.71266719698906,-603.3868404696699,0.662199429065295,0.58767205
89,-516.3117230296135,-594.6793287256643,0.6895409203456637,0.63897973
90,-714.4284815102816,-606.654244004126,0.5749797506700234,0.70666665
91,-586.6269079476594,-604.6515103984793,0.7300958487979454,0.9781719
92,-618.4149488568306,-606.0278542443145,0.5731024239058965,0.68976545
93,-1091.8442171514034,-654.6094905350235,0.4635538566243478,0.6196474
94,-773.8215578347445,-666.5306972649956,0.5405993987784674,0.6308458
95,-960.4306844979524,-695.9206959882913,0.5000575186042028,0.659204
96,-260.0749016344547,-652.3361165529077,0.6482513513381436,0.55793023
97,-775.625019672513,-664.6650068648682,0.5326275507282319,0.68421054
98,-894.4237608224154,-687.6408822606229,0.595486335955227,0.76115805
