,reward,ma_reward,avg_q,avg_loss
0,1933.3915,1933.3915,0.032740444,5.342101097106934
1,1991.5763,1939.2098,0.2542593,9.610535490512849
2,2153.5227,1960.6411,0.57648027,10.36579956293106
3,2465.5972,2011.1366,0.81910694,10.004733436107635
4,1894.3538,1999.4584,1.067619,10.07879292011261
5,2001.7933,1999.6918,1.2110902,10.30494389295578
6,2175.8074,2017.3032,1.3469678,10.715925416946412
7,2073.7612,2022.949,1.3712058,11.568666172027587
8,2135.574,2034.2114,1.4993479,10.625493021011353
9,2260.381,2056.8284,1.7586235,10.383626475334168
10,1763.5232,2027.4978,1.8143001,10.259852051734924
11,1990.347,2023.7826,1.8456411,10.103952124118806
12,2162.0518,2037.6095,1.9575254,11.078225965499877
13,1743.7024,2008.2188,1.9307051,10.699657874107361
14,2478.2053,2055.2173,1.9750636,10.464971809387206
15,2300.0413,2079.6997,1.9561452,10.503825812339782
16,1987.9562,2070.5254,2.039356,11.249634580612183
17,2129.0667,2076.3794,2.151296,10.38947739124298
18,2023.372,2071.0786,2.3232455,10.172038168907166
19,2169.742,2080.9448,2.3470511,9.79617558479309
20,2398.4517,2112.6956,2.408255,9.892418320178985
21,2187.24,2120.15,2.4677296,10.081247334480286
22,2257.3657,2133.8716,2.4315348,10.103833498954772
23,2346.2556,2155.1099,2.3788178,10.505202176570892
24,2248.982,2164.497,2.4720793,10.28007746219635
25,2315.6526,2179.6125,2.4993198,9.916433291435242
26,2698.4497,2231.496,2.5421116,10.658536901474
27,2469.2654,2255.273,2.5429742,10.384032394886017
28,2620.4321,2291.7888,2.5120795,10.4644091629982
29,2506.4714,2313.257,2.6379766,10.684936170578004
30,2307.1633,2312.6477,2.4911046,9.99133210659027
31,2537.6772,2335.1506,2.5592926,10.800771715641021
32,2300.6057,2331.696,2.6305528,11.402204403877258
33,2293.9795,2327.9243,2.7330134,11.458484604358674
34,2702.0964,2365.3416,2.8515306,10.694568293094635
35,2246.082,2353.4155,2.9832256,10.24897897720337
36,2600.13,2378.087,2.800641,10.778303444385529
37,2343.2307,2374.601,2.8584912,10.501381175518036
