,reward,ma_reward,avg_q,avg_loss
0,1419.383,1419.383,0.03713309,3.8468289375305176
1,1517.7776,1429.2224,0.19365543,6.638876008987427
2,1534.6328,1439.7634,0.4258507,5.876083037853241
3,1546.1841,1450.4055,0.57077014,6.800357789993286
4,1418.9467,1447.2596,0.77807456,6.838985524177551
5,1408.1416,1443.3479,1.0123597,6.74207587480545
6,1216.5167,1420.6648,1.2129533,7.1927824878692626
7,1422.9697,1420.8953,1.2350023,6.9940263819694515
8,1402.5183,1419.0575,1.4222344,7.35134162068367
9,1211.7238,1398.3241,1.461917,6.727896418571472
10,1442.5836,1402.75,1.5535241,6.987530601024628
11,1274.1407,1389.889,1.6733763,7.27922348767519
12,1491.7914,1400.0793,1.8406804,7.194643983840942
13,1361.7603,1396.2474,1.947439,7.094717072248459
14,1408.5428,1397.4769,1.994654,7.097455930709839
15,1558.9823,1413.6274,2.0858846,7.168880906105041
16,1491.386,1421.4032,2.0570214,7.067121632099152
17,1508.6182,1430.1246,2.1689947,7.128379306793213
18,1508.601,1437.9723,2.3762872,7.023042016029358
19,1201.3352,1414.3086,2.491126,6.821593182086945
20,1136.5422,1386.5319,2.480488,7.016650412082672
21,1200.5281,1367.9315,2.6155238,7.153045712709427
22,1076.9612,1338.8345,2.5892193,7.197618973255158
23,1560.5575,1361.0068,2.5337627,6.743985934257507
24,1583.8046,1383.2866,2.575543,7.070937266349793
25,1511.7375,1396.1316,2.5849562,6.597766757011414
26,1465.4097,1403.0594,2.700732,6.968920986652375
27,1278.5632,1390.6097,2.6638608,7.156939941644668
28,1613.7845,1412.9271,2.6308534,6.967220053672791
29,1524.2079,1424.0552,2.6721075,7.251474355459213
30,1553.4075,1436.9904,2.5837128,6.8150525212287905
31,1199.3319,1413.2245,2.5794828,7.033706212043763
32,1302.9591,1402.1979,2.562354,7.482721700668335
33,1748.6141,1436.8395,2.6470635,6.868177900314331
34,1565.0278,1449.6583,2.649654,7.352576191425324
35,1457.4067,1450.4332,2.6171615,7.100524325370788
36,1475.8081,1452.9707,2.6586125,7.091744856834412
37,1484.2024,1456.0939,2.628564,6.983734929561615
38,1607.3707,1471.2216,2.653644,7.564593403339386
39,1699.8287,1494.0823,2.5981119,7.4746538305282595
40,1692.1782,1513.8918,2.549581,6.762497456073761
41,1475.3223,1510.0349,2.7753134,6.829811668395996
42,1645.8143,1523.6128,2.9826384,6.849634276628494
43,1754.284,1546.6799,2.916394,6.781175284385681
44,1258.1401,1517.8258,2.9863672,6.607919235229492
45,1744.2188,1540.4651,2.9405859,6.919859538078308
46,1696.6617,1556.0847,2.9163606,7.000109281539917
47,1716.1571,1572.0919,2.8953009,6.8578641009330745
48,1492.1416,1564.0968,2.886313,6.942229323387146
49,2172.771,1624.9642,3.0464365,6.534927990436554
50,1771.4696,1639.6147,3.2775493,7.21003924369812
51,1867.0686,1662.3601,3.5129352,7.387964026927948
52,1881.5416,1684.2782,3.7360618,6.9433819508552554
53,1956.286,1711.479,3.9314263,6.642918096780777
54,1828.2365,1723.1547,3.7370288,6.757081203460693
55,2017.519,1752.5911,3.7811825,6.803258860111237
56,2047.1118,1782.0431,3.9750216,7.385296800136566
57,2027.1217,1806.5509,4.155668,7.382369906902313
58,1858.3292,1811.7286,4.022527,7.232975740432739
59,2021.9696,1832.7527,4.105466,6.916270897388459
60,1853.0741,1834.7848,4.278255,6.793968552350998
61,2016.6777,1852.974,4.516733,6.652366782426834
62,1753.4111,1843.0176,4.6565,6.811324427127838
63,2017.4479,1860.4606,4.750092,6.5674595952034
64,1930.2736,1867.4418,4.866926,6.936485054492951
65,1795.0702,1860.2046,4.828984,6.756157860755921
66,1595.7799,1833.7621,4.8059473,6.78623792886734
67,1943.8634,1844.7722,4.9518085,7.053092032670975
68,1511.7517,1811.4701,5.1364655,6.77580712556839
69,1924.7336,1822.7964,5.315121,6.785481827259064
70,2003.0836,1840.8251,5.453372,7.249027496576309
71,1921.0957,1848.8522,5.459547,6.7897252225875855
72,1985.8878,1862.5557,5.0806875,6.950330185890198
73,1819.4458,1858.2446,4.938707,6.509108784198761
74,1855.0037,1857.9205,5.322011,6.790815284252167
75,1600.9652,1832.225,5.8061466,6.65209678888321
76,1791.807,1828.1831,5.7020187,6.486942386627197
77,1540.5516,1799.4199,5.7677774,7.018909192085266
78,1761.4373,1795.6216,5.8239775,6.5761089253425595
79,2060.2358,1822.0829,5.908424,6.286890063285828
80,1733.3893,1813.2134,5.785508,6.4860949456691745
81,1759.4003,1807.832,5.5663886,6.268351674079895
82,1869.4338,1813.9922,5.248292,6.186611268520355
83,1587.7576,1791.3687,5.3487372,6.440066428184509
84,1822.5872,1794.4904,5.344744,6.506532354354858
85,1817.8098,1796.8223,5.3310485,6.737341501712799
86,1875.3759,1804.6776,5.424221,6.084880142211914
87,1763.7715,1800.587,5.593103,6.484115428924561
88,1917.4513,1812.2734,5.984073,6.544093840122223
89,2028.638,1833.9098,5.719056,6.363049556016922
90,2096.7056,1860.1893,5.8869476,6.394928290843963
91,2027.9747,1876.9679,5.8196807,6.375887169837951
92,2119.1116,1901.1823,5.980791,6.324507629871368
93,1879.8308,1899.047,6.1190386,6.213007143735886
94,2037.3906,1912.8812,6.210582,6.065393297672272
95,1732.2461,1894.8176,5.7470284,6.097164508104324
96,1599.0131,1865.237,5.8254113,5.973102231025695
97,1930.6796,1871.7812,5.6795945,5.8341816663742065
98,2106.3313,1895.2362,6.0055757,6.518414058685303
99,1983.8348,1904.096,5.951024,6.08248554944992
100,2138.284,1927.5146,6.255317,6.482025842666626
101,2175.1145,1952.2747,6.148464,5.845187649726868
102,2137.4976,1970.7969,6.3249354,6.4353765106201175
103,2101.0762,1983.8248,6.6330585,6.4654105079174045
104,2017.8502,1987.2273,6.767068,5.7892278695106505
105,2130.282,2001.5327,6.5276027,6.164712450504303
106,1787.8123,1980.1606,6.269852,6.323333967924118
107,2173.9543,1999.5399,6.5096016,6.456027979850769
108,1943.4142,1993.9274,6.030925,6.174740750789642
109,1840.9888,1978.6334,6.1300974,6.2901176071166995
110,1867.399,1967.5099,6.1269455,6.1472908866405485
111,2053.502,1976.1091,6.500383,6.289188144207
112,2044.259,1982.9241,6.5127587,6.4389339494705204
113,2170.3142,2001.663,6.222758,6.320898950099945
114,1946.6383,1996.1604,6.404774,6.451797788143158
115,1860.231,1982.5674,6.426542,6.031358723640442
116,1978.626,1982.1731,6.2292523,5.957374365329742
117,1987.8453,1982.7402,5.9642444,6.02888612985611
118,1737.7764,1958.2438,6.159155,5.913523987531662
119,1902.9972,1952.719,6.1800013,6.252774164676667
120,2238.7454,1981.3215,5.6337743,6.380457136631012
121,1940.239,1977.2133,5.8622766,6.073756096363067
122,2027.0933,1982.2013,5.958352,6.159267268180847
123,2019.4679,1985.9279,6.325914,6.194435445070266
124,1977.0524,1985.0403,6.040332,6.107369703054428
125,2096.2366,1996.1599,6.187333,6.422527408599853
126,1905.4371,1987.0875,5.9561944,6.326175856590271
127,1949.8611,1983.3649,6.175054,5.832624181509018
128,2059.847,1991.0131,6.366765,6.163327939510346
129,2016.7513,1993.5869,6.1287293,6.063873991966248
130,1972.2668,1991.4548,6.2928224,5.779228749275208
131,1858.5784,1978.1671,6.2428303,5.888221717476845
132,2161.1382,1996.4641,6.0730715,5.556200835704804
133,1866.2051,1983.4381,6.0675454,6.127465922832489
134,1783.4329,1963.4375,5.545921,5.960238792896271
135,2219.9883,1989.0925,5.8599257,5.754853293895722
136,1944.5936,1984.6426,5.863681,5.736499590873718
137,2226.7566,2008.8539,5.6862373,6.170031139850616
138,1913.8014,1999.3486,5.6053996,6.077585686445236
139,2001.8348,1999.5972,5.403273,5.564044950008392
140,1997.4543,1999.3829,5.1482606,5.609319589138031
141,2123.982,2011.8428,5.202232,5.514524674415588
142,2024.2463,2013.0831,5.112271,5.801268656253814
143,1963.8184,2008.1566,4.917491,6.100035814046859
144,1980.2267,2005.3636,4.7497063,5.8218289148807525
145,1988.2921,2003.6565,4.5206485,5.747446344792843
146,1832.2552,1986.5164,4.501791,6.333259851932525
147,1971.8202,1985.0466,4.2050543,5.881406555175781
148,2051.1562,1991.6575,4.3620486,5.91222934126854
149,2043.0426,1996.7959,4.249052,5.757309546470642
150,2027.4686,1999.863,4.1401515,6.106913833618164
151,2174.349,2017.3116,4.2099185,5.866197414398194
152,2005.0651,2016.0869,4.274452,5.599092069864273
153,1959.0773,2010.3859,4.3920693,5.264749568700791
154,2163.1272,2025.66,4.5889473,5.567418220043183
155,2076.677,2030.7617,4.712879,5.732704603672028
156,2119.934,2039.679,4.475446,5.66993492603302
157,2133.9175,2049.1028,4.814865,5.442109978199005
158,1886.6517,2032.8577,4.870489,5.851136121749878
159,2082.2832,2037.8002,5.175107,5.522844626903534
160,1915.0774,2025.5278,5.0286045,6.1580567300319675
161,1917.7764,2014.7526,5.1741896,5.9827598547935485
162,2035.8467,2016.8619,5.417126,5.177715331315994
163,1873.419,2002.5176,5.087492,5.823907630443573
164,2161.5151,2018.4172,4.8474293,5.683950517177582
165,1905.0201,2007.0774,4.556663,5.770595415830612
166,2053.0774,2011.6774,4.8138866,5.523345355987549
167,2066.3328,2017.143,4.762794,5.41883815407753
168,1977.7922,2013.2078,4.683659,5.254933106899261
169,1990.2064,2010.9076,4.735992,5.49359824180603
170,2138.673,2023.6841,4.69189,5.531216756105423
171,2033.11,2024.6267,4.817628,5.4006511807441715
172,2317.6108,2053.925,4.7797284,5.452512114048004
173,1932.5896,2041.7914,5.1746593,5.257978522777558
174,1969.8843,2034.6006,5.351595,5.69695634841919
175,1953.912,2026.5317,5.0311847,5.733715155124664
176,1790.2081,2002.8994,4.9240956,5.3050787174701695
177,1993.5336,2001.9628,5.4608526,5.6832106900215145
178,2339.992,2035.7656,5.172163,5.604595291614532
179,2092.3147,2041.4204,4.6755958,5.863687295913696
180,1958.2699,2033.1053,4.8750978,5.57725221157074
181,2233.5422,2053.149,5.0510216,5.630024287700653
182,2088.7405,2056.708,5.291421,5.303331060409546
183,1934.2181,2044.459,5.3039045,5.59288339138031
184,1965.4808,2036.5612,5.135955,5.3435344219207765
185,2222.3123,2055.1362,4.8874564,5.332720489501953
186,2170.3262,2066.6553,4.777923,5.387161452770233
187,2205.124,2080.5022,4.7830873,5.779246573448181
