,reward,ma_reward,avg_q,avg_loss
0,1858.4497,1858.4497,0.04715705,12.151812553405762
1,2078.0486,1880.4095,0.1657746,10.065780153274536
2,1976.6243,1890.031,0.39559412,10.095762448310852
3,1833.2174,1884.3496,0.6086346,10.405125274658204
4,1799.0441,1875.819,0.8206312,9.899311347007751
5,2160.2395,1904.261,1.0111868,9.852848670482636
6,2076.2898,1921.4639,1.2133901,10.86514666557312
7,2381.1472,1967.4321,1.2881387,10.880692548751831
8,1767.8561,1947.4745,1.5015548,10.86719762802124
9,2099.1025,1962.6373,1.6517553,10.788824007511138
10,2077.513,1974.1249,1.5939265,11.22315447807312
11,2181.356,1994.848,1.7510613,10.425851531028748
12,2310.4307,2026.4062,1.8920772,10.998584690093994
13,2621.344,2085.9,1.9932865,10.926879622936248
14,2205.3271,2097.8425,2.2292378,10.499195022583008
15,2244.9448,2112.5527,2.2417963,10.950386543273925
16,2123.0542,2113.6028,2.3213377,10.590134131908417
17,2533.0522,2155.5476,2.375431,10.862297604084015
18,2343.3362,2174.3264,2.4211528,11.043144521713257
19,2538.3938,2210.7332,2.439767,11.451846852302552
20,2259.3933,2215.599,2.590669,10.822455501556396
21,2168.6924,2210.9084,2.5638194,10.607590141296386
22,2413.6382,2231.1814,2.6150608,10.652458665370942
23,2513.765,2259.4397,2.5967906,11.710010566711425
24,2574.9592,2290.9917,2.7331612,10.767595472335815
25,3012.6035,2363.1528,2.7512138,11.21179561138153
26,2102.7744,2337.1147,2.7469645,11.231436834335327
27,2143.4756,2317.751,2.6350038,10.938683381080628
28,1966.5212,2282.628,2.6980093,10.885749669075013
29,2701.6685,2324.5317,2.8459053,10.962615892887115
30,2879.7642,2380.055,2.8040361,10.936249146461487
31,2413.5925,2383.4087,2.752046,10.631512393951416
32,3316.93,2476.7607,2.8565474,10.725507972240448
33,2762.3694,2505.3218,2.8417716,10.37282727599144
34,2717.9265,2526.5823,2.7670317,10.25753149986267
35,3019.291,2575.8533,2.7940497,10.611207137107849
36,2514.9043,2569.7583,2.924567,11.335847282409668
