,state reward,moving average state reward,FMI,cmm similarity
0,-1957.4936270549895,-1957.4936270549895,0.3477232105177198,0.53632146
1,-2153.5184893742203,-1977.0961132869127,0.3099608739425871,0.6309227
2,-1976.6763178586962,-1977.0541337440911,0.4858696414073308,0.802682
3,-1820.6539732396604,-1961.4141176936482,0.42846382165778174,0.6043956
4,-1970.2753737211228,-1962.3002432963958,0.3575423203136018,0.49367088
5,-2369.474114871025,-2003.0176304538588,0.4145684054826292,0.7382979
6,-2202.2804091215135,-2022.9439083206244,0.3120783040286045,0.50161815
7,-1935.0791502714158,-2014.1574325157035,0.4970998255349141,0.8688172
8,-2047.0832415416837,-2017.4500134183015,0.3794446611765279,0.6439394
9,-2203.8593233674765,-2036.090944413219,0.4686970332097806,0.69325155
10,-2123.1008654579523,-2044.7919365176924,0.3169083876360665,0.52397263
11,-2676.70495672822,-2107.9832385387454,0.3747448668373581,0.6933333
12,-1413.4505114018918,-2038.5299658250601,0.37576546236798314,0.4913295
13,-2083.8829268291593,-2043.0652619254702,0.40220670949574133,0.67354596
14,-1743.0741148710251,-2013.0661472200259,0.3461459800648407,0.5
15,-2443.084815104306,-2056.068014008454,0.3670624339087348,0.6228893
16,-1571.0332021981478,-2007.5645328274236,0.48594751115839946,0.64029664
17,-2155.072226595879,-2022.3153022042693,0.34774375701401966,0.54545456
18,-1318.2533438146115,-1951.9091063653034,0.425840760010568,0.5661765
19,-1861.4838709667326,-1942.8665828254464,0.38217834500504694,0.55259466
20,-2487.885759241879,-1997.3685004670897,0.3715122395293021,0.6135957
21,-2276.6703383207323,-2025.298684252454,0.41956168297312363,0.6421725
22,-1718.2744295835496,-1994.5962587855636,0.40083879888103885,0.6176
23,-2185.4848151043057,-2013.6851144174377,0.29164560700472686,0.3985849
24,-1852.6561762273313,-1997.582220598427,0.4863898978229695,0.7422003
25,-1545.4168371319772,-1952.3656822517821,0.42279169853004533,0.48175183
26,-1957.497718332708,-1952.8788858598748,0.3000345111625217,0.420398
27,-1671.0794649839402,-1924.6989437722814,0.4174322008321727,0.6887661
28,-1387.8382375985384,-1871.0128731549073,0.45686331521629797,0.5154265
29,-1209.4451612889768,-1804.8561019683143,0.5232257983163432,0.7613982
30,-1483.7812745720148,-1772.7486192286844,0.5379029479529102,0.55971336
31,-1347.0171518445015,-1730.1754724902662,0.5269593653788641,0.6705744
32,-1210.9992132157088,-1678.2578465628105,0.5286551834051721,0.6202405
33,-1566.1966955155135,-1667.051731458081,0.591434931481678,0.61908644
34,-1226.2020456284286,-1622.9667628751158,0.5299138737253839,0.5743766
35,-1174.2489378392697,-1578.0949803715314,0.4635283252189106,0.5531915
36,-1455.835719898343,-1565.8690543242126,0.5005738941263502,0.6323024
37,-896.5809598594905,-1498.9402448777405,0.525044203825386,0.52783966
38,-716.5872541099787,-1420.7049458009644,0.7125849468251912,0.78505534
39,-1096.665932330489,-1388.3010444539168,0.5857495543172324,0.8656
40,-642.1328087985517,-1313.6842208883802,0.6363659102352758,0.58312184
41,-1035.7847364097834,-1285.8942724405204,0.6712110888990244,0.7474275
42,-1385.4608969300987,-1295.8509348894781,0.5858096923753214,0.8807947
43,-1070.2297403603793,-1273.2888154365685,0.5360855151838743,0.6964504
44,-1352.6574350923302,-1281.2256774021448,0.47596958566611186,0.6069364
45,-822.9982690781355,-1235.4029365697438,0.5782528147157476,0.6142259
46,-958.9866246849299,-1207.7613053812624,0.6354679265836709,0.6921708
47,-541.3324940860272,-1141.118424251739,0.7335574890076494,0.83366144
48,-762.9734067589045,-1103.3039225024556,0.7829215220224032,0.8971774
49,-1371.062785205245,-1130.0798087727346,0.48274910785190217,0.6377171
50,-757.4140047192574,-1092.813228367387,0.601778086834159,0.7588235
51,-1354.2807238340379,-1118.9599779140522,0.47156139997718766,0.75266904
52,-655.776868596673,-1072.6416669823143,0.7356754982035112,0.85261005
53,-964.6577498048545,-1061.8432752645683,0.5487885173833741,0.8227642
54,-478.8878048777581,-1003.5477282258872,0.6618973672514803,0.58777714
55,-685.3992132157088,-971.7328767248694,0.6453413719341076,0.75617284
56,-674.9916601151228,-942.0587550638948,0.6800217288178338,0.7803181
57,-813.4426435738802,-929.1971439148933,0.6828693833281674,0.9388336
58,-730.9797010093928,-909.3753996243433,0.665864249269612,0.6845048
59,-725.3856805473566,-890.9764277166446,0.7239788721213827,0.82300884
60,-898.1922895401717,-891.6980138989973,0.6808659404635832,0.8322072
61,-650.2064516186715,-867.5488576709647,0.633959254036498,0.78054297
62,-751.0306844979525,-855.8970403536636,0.598434863449668,0.76322114
63,-886.213690006733,-858.9287053189705,0.6724661300484848,0.90821916
64,-910.1756097465754,-864.053395761731,0.7555573363425837,0.8838912
65,-831.0344610482455,-860.7515022903825,0.6512826809133936,0.8450882
66,-555.7479150295258,-830.2511435642969,0.8609489422843976,0.91426075
67,-1195.0451612889767,-866.7305453367649,0.6363298229353113,0.8548387
68,-783.8291109353304,-858.4404018966214,0.591529271989769,0.70600635
69,-506.1759244590998,-823.2139541528693,0.7596307237211669,0.88235295
70,-490.1570416927338,-789.9082629068557,0.6720244229549132,0.7052456
71,-510.1784421592951,-761.9352808320997,0.616402030874328,0.6109064
72,-884.661211642623,-774.2078739131521,0.6604318380922876,1.0
73,-956.6338316231967,-792.4504696841565,0.6819336038997301,0.9181446
74,-1139.077891421318,-827.1132118578727,0.4796983919074414,0.6436782
75,-1242.2435877114535,-868.6262494432308,0.605909608674105,0.8502907
76,-1260.6140047192575,-907.8250249708335,0.5434027479816811,0.6194101
77,-763.0133752942086,-893.343860003171,0.5964074703859154,0.6818623
78,-878.1825334221126,-891.8277273450652,0.5234590126468239,0.5020325
79,-1035.8684500306845,-906.2317996136271,0.4820903059654173,0.6939971
80,-590.1812745720148,-874.6267471094659,0.6903141967877426,0.8266522
81,-781.432572773099,-865.3073296758292,0.6853625081620004,1.0
82,-504.53217937350274,-829.2298146455965,0.6850329808379261,0.6886503
83,-357.34697089195254,-782.0415302702322,0.90822753228977,1.0
84,-779.0451612889767,-781.7418933721067,0.6449290276052834,0.97938144
85,-879.0306844979525,-791.4707724846912,0.5759319164414276,0.68508863
86,-378.13847365379337,-750.1375426016015,0.7958244127718708,0.87096775
87,-975.8165224194527,-772.7054405833867,0.5000028612876367,0.5737393
88,-1005.3740361839533,-795.9723001434434,0.5078193354907039,0.4897681
89,-601.3743508964777,-776.5125052187468,0.712929773821819,0.78578025
90,-426.9479150295258,-741.5560461998248,0.8316118139041903,0.90181816
91,-822.1812745720149,-749.6185690370438,0.7189493952943566,0.8263052
92,-498.9494885921479,-724.5516609925542,0.7354138367146018,0.7399381
93,-325.3416207790375,-684.6306569712025,0.7196698832797669,0.6747312
94,-374.13154994845394,-653.5807462689277,0.8642123963540457,0.8858075
95,-396.53217937350274,-627.8758895793852,0.8289888166916315,0.8784722
96,-1124.654602664709,-677.5537608879176,0.6544295231106433,0.9767055
97,-415.7919748276472,-651.3775822818906,0.7805481959207787,0.9760192
98,-1046.2026750534774,-690.8600915590494,0.6429317914259304,0.7615546
99,-654.1774980217219,-687.1918322053167,0.7516846879392992,0.92990655
100,-165.28843430280688,-635.0014924150657,0.9251036675927867,0.9527755
101,-398.93564121127133,-611.3949072946864,0.8114684770163421,0.7884756
102,-717.375295034051,-621.9929460686228,0.8097377092126711,0.9290061
103,-642.9828481346369,-624.0919362752243,0.5206496282494267,0.49114755
104,-502.9639653831721,-611.9791391860191,0.7608028529764344,0.87148595
105,-508.5617623806,-601.6374015054772,0.6273075912205546,0.6432518
106,-528.5217938601971,-594.3258407409492,0.8423895696321516,0.9067265
107,-570.1988985031843,-591.9131465171728,0.6090888510599397,0.6783734
108,-658.9878835648299,-598.6206202219386,0.5544953553614019,0.55621743
109,-457.36113295555117,-584.4946714952998,0.7613306414679242,0.8716149
110,-434.139732503891,-569.459177596159,0.715213773244342,0.77837837
111,-614.9998426407576,-574.0132441006189,0.7552602090809594,0.9920949
112,-438.9520062923432,-560.5071203197913,0.8581962453755122,0.9479659
113,-284.5394177913666,-532.9103500669488,0.6146653918676497,0.49104983
114,-105.31077889204026,-490.15039294945797,0.951783578530364,1.0
115,-714.9567269802094,-512.6310263525331,0.747591856497686,0.7686084
116,-285.32494098544123,-489.90041781582397,0.9399702039792559,0.9763713
117,-152.51707317233087,-456.1620833514747,0.794780670331404,0.7434166
118,-330.90731705427174,-443.6366067217544,0.8281468718268535,0.8689362
119,-465.3523210048676,-445.8081781500657,0.8685012073819879,0.97365856
120,-479.74571204185486,-449.20193153924464,0.8559647393030992,0.95380175
121,-795.0080251812935,-483.78254090344956,0.7461507376750535,0.9170507
122,-434.9551534175873,-478.8998021548633,0.8891048110180543,1.0
123,-564.5523210048676,-487.46505403986373,0.8126330200740054,0.9191322
124,-743.7705743461847,-513.0956060704958,0.7769677791040541,0.8337754
125,-57.30354050397873,-467.51639951384414,0.9805810302094394,0.999185
126,-939.013690006733,-514.666128563133,0.6833477620793807,0.8704156
127,-614.1976396530868,-524.6192796721284,0.7781915911366684,0.9949875
128,-636.594807240367,-535.8168324289522,0.7531033595694036,0.9512789
129,-698.2111723065377,-552.0562664167107,0.7208847876221094,0.939433
130,-322.16333595812324,-529.066973370852,0.8648434387136716,1.0
131,-448.58630997240545,-521.0189070310074,0.8081319231783203,0.99187934
132,-255.75420928001404,-494.4924372559081,0.8700320742060602,1.0
133,-453.3595593929291,-490.3791494696102,0.8831019573656881,1.0
134,-619.8118017315865,-503.3224146958078,0.7252732455269489,0.90140843
135,-577.3554681301117,-510.72572003923824,0.8325511015561549,0.99558014
136,-380.53878836631776,-497.7070268719462,0.8708177779925983,0.9434822
137,-666.9375295162201,-514.6300771363736,0.8321036155141193,0.92543024
138,-698.1787568718196,-532.9849451099183,0.709019133172982,0.8402556
139,-971.013690006733,-576.7878195995997,0.6240190088152267,0.8097622
140,-794.2124311566354,-598.5302807553034,0.5992549512986886,0.6410912
141,-238.95483870506288,-562.5727365502793,0.8987170342729172,1.0
142,-339.7598741054535,-540.2914503057967,0.8653164184803459,1.0
143,-861.4486231267452,-572.4071675878915,0.6672119973645323,1.0
144,-654.9875688523055,-580.665207714333,0.7818763469052087,0.96604216
145,-210.92966167330744,-543.6916531102304,0.9241767140818956,0.975631
146,-379.72808811068535,-527.2952966102758,0.8923203904508753,1.0
147,-741.3916601151228,-548.7049329607605,0.7519924113773905,0.9259259
148,-610.1419354915619,-554.8486332138407,0.7984091555540447,0.767094
149,-770.1913454025985,-576.3829044327165,0.6671084041397228,0.71195185
150,-740.5337529361249,-592.7979892830573,0.6532649025484264,0.6687747
151,-511.76459480822086,-584.6946498355737,0.8026727720990651,0.9279835
152,-417.3372147738934,-567.9589063294056,0.7963289949401701,0.87108654
153,-575.0127458691597,-568.6642902833811,0.7186562717638804,0.8990499
154,-590.1869393974542,-570.8165551947884,0.7956471242750728,0.9746252
155,-464.5623918056488,-560.1911388558746,0.8034527801523339,0.9563795
156,-718.2338316231967,-575.9954081326068,0.6579059782952631,0.9183673
157,-597.3570416927338,-578.1315714886196,0.6322750496271188,0.61511046
158,-335.7630212455988,-553.8947164643175,0.8179933120884888,0.90234745
159,-782.9639653831721,-576.801641356203,0.8440266382194694,0.9771784
160,-748.6011014908553,-593.9815873696682,0.6912084782730309,0.8331504
161,-668.5900865525008,-601.4424372879514,0.7959214490231076,0.98815167
162,-852.6483084142209,-626.5630244005783,0.6411079647579266,0.94212216
163,-438.96018881797795,-607.8027408423183,0.7064688537980083,0.68786126
164,-256.52745868563653,-572.6752126266501,0.9500624494936145,1.0
165,-772.5686860710383,-592.6645599710889,0.7535570793764129,0.9088889
166,-944.6316286355258,-627.8612668375326,0.5839634094514303,0.7911051
167,-555.7479150295258,-620.6499316567321,0.8554438961744345,0.9546332
168,-537.366168370843,-612.3215553281432,0.8596750529679625,0.9897225
169,-694.2095987439156,-620.5103596697204,0.7076959138599804,0.93874836
170,-487.77529503405094,-607.2368532061535,0.7048020519376482,0.75238097
171,-479.75641226768494,-594.4888091123066,0.7779643002976352,0.83853704
172,-550.1394177913666,-590.0538699802127,0.7800286904604397,0.8908909
173,-788.6281667977572,-609.9112996619672,0.6582050212546344,0.89041096
