,reward,ma_reward,avg_q,avg_loss
0,2267.0261,2267.0261,0.060031634,8.467310905456543
1,1760.5945,2216.3828,0.20185116,9.981816651821136
2,2085.9055,2203.335,0.5482105,10.231685848236085
3,1940.6143,2177.063,0.74137235,10.387717595100403
4,2195.6145,2178.9182,1.0453135,10.449503078460694
5,1869.834,2148.0098,1.2669752,10.591681408882142
6,2053.991,2138.608,1.5439978,11.041966326236725
7,2120.0615,2136.7532,1.7162442,10.79885853767395
8,2238.8264,2146.9604,1.8092675,10.35352766752243
9,1687.4093,2101.0054,1.9334778,10.473523114919663
10,2161.996,2107.1045,2.1036773,10.814336218833922
11,2207.053,2117.0994,2.2039175,11.019885966777801
12,2244.24,2129.8135,2.2692666,9.672442619800568
13,2316.2876,2148.4607,2.4679258,11.293767445087433
14,2283.2734,2161.942,2.5303745,11.127969965934753
15,1798.9912,2125.6467,2.6879823,11.374505581855773
16,2199.2854,2133.0105,2.6758082,10.518419785499573
17,2515.506,2171.26,2.6800928,10.941374309062958
18,1795.9498,2133.729,2.7886324,10.49080451488495
19,2113.3823,2131.6943,2.83973,10.688978600502015
20,2147.0002,2133.2249,2.7854886,11.101338896751404
21,2394.2983,2159.3323,2.7479966,10.16699820280075
22,1884.7748,2131.8765,2.7966146,11.441498713493347
23,2145.2317,2133.212,2.746435,10.093795409202576
24,2008.4095,2120.7317,2.7877743,10.596533780097962
25,2285.6328,2137.2217,2.9875507,10.41246817111969
26,2271.2505,2150.6245,3.0648127,10.710182008743287
27,2168.007,2152.3628,3.021251,10.97363040447235
28,2697.8774,2206.9143,3.0675101,10.260243134498596
29,1988.0264,2185.0254,3.1079884,10.337145237922668
30,2553.4187,2221.8647,3.2454052,10.006701741218567
31,2546.7686,2254.355,3.248896,10.94899675130844
32,2192.7478,2248.1943,3.3189669,10.59889098405838
33,2368.5005,2260.2249,3.0931573,11.177587621212005
34,2600.8398,2294.2861,3.2792034,10.235671055316924
35,2429.1055,2307.768,3.460583,10.068385932445526
36,2483.1553,2325.3066,3.56498,10.196603815555573
37,2824.603,2375.236,3.4207647,10.491317279338837
38,2573.042,2395.0166,3.5117857,10.232554535865784
39,3007.0352,2456.2185,3.6597328,10.396408569812774
40,3056.8826,2516.285,3.558316,10.165999319553375
41,2928.5186,2557.508,3.487642,10.254064762592316
42,3043.7551,2606.1326,3.7365484,10.926108841896058
43,2883.5532,2633.8745,3.8946857,10.266359860897063
44,2469.3445,2617.4214,3.9285274,9.866233410835266
45,2777.6838,2633.4475,3.779088,10.794628438949585
46,2863.0342,2656.4062,3.772018,10.283716459274292
47,3150.4312,2705.8088,3.654729,10.06292431116104
48,3064.1287,2741.6406,3.3835812,10.257130417823792
49,3251.2786,2792.6045,3.4458754,10.466240015029907
50,2601.3137,2773.4753,3.437576,10.059504160881042
51,3157.0989,2811.8376,3.4274566,9.965990054607392
52,3513.0276,2881.9565,3.5761485,10.197763299942016
53,3230.9082,2916.8516,3.5844135,10.63739597082138
54,3042.996,2929.4658,3.6957345,10.474818186759949
