,reward,ma_reward,avg_q,avg_loss
0,2201.045,2201.045,0.018810952,17.826560974121094
1,1885.029,2169.4434,0.11565475,13.530761685371399
2,2717.8538,2224.2844,0.40610266,13.991257796287536
3,2832.292,2285.0852,0.72032756,15.209235939979553
4,2622.6543,2318.842,1.0235438,14.904665870666504
5,2869.0728,2373.865,1.2470766,14.61969837665558
6,2613.8977,2397.8682,1.4232789,14.121255536079406
7,2209.8667,2379.0679,1.605179,15.031541714668274
8,2757.852,2416.9463,1.7836944,14.296032595634461
9,2372.274,2412.479,1.8226403,14.253271250724792
10,3071.5518,2478.3862,1.9767787,13.515930323600768
11,3365.9011,2567.1377,2.1240902,14.713214964866639
12,2404.2905,2550.8528,2.199671,14.304214024543763
13,2824.331,2578.2004,2.3643165,14.617286100387574
14,2575.455,2577.9258,2.5988774,14.675764565467835
15,2856.3567,2605.7688,2.7794619,14.918879685401917
16,3182.7349,2663.4653,2.896856,14.045505566596985
17,3097.9468,2706.9133,2.8962462,14.250856957435609
18,3440.385,2780.2605,2.9588256,15.548746271133423
19,2886.691,2790.9036,2.9608247,15.16471293926239
20,2982.7297,2810.0862,3.00256,14.361475460529327
21,3147.506,2843.8281,3.0044909,13.996935980319977
22,2645.042,2823.9495,3.0018096,14.39884180545807
23,3736.4294,2915.1973,3.1754937,14.81395851612091
24,3157.9827,2939.4758,3.276214,14.19627522945404
25,2574.7876,2903.0068,3.231127,15.072326006889343
26,3369.942,2949.7002,3.1775215,14.770915608406067
27,3487.5798,3003.4883,3.21378,14.06465337753296
28,3497.2878,3052.8682,3.170768,14.921386439800262
29,2941.1282,3041.694,3.348534,14.33275431394577
30,3696.5034,3107.175,3.2044044,14.75678958415985
31,2792.3574,3075.6934,3.366807,15.797994260787965
32,2409.8823,3009.1123,3.2941024,14.434068036079406
33,3030.752,3011.2761,3.332002,14.544373450279236
34,2620.4148,2972.19,3.320735,14.144931409358978
35,2979.5098,2972.9219,3.4340765,16.0524241399765
36,2711.5312,2946.7827,3.4547892,14.583634181022644
37,3451.6501,2997.2695,3.3948886,15.374904937744141
38,3366.149,3034.1575,3.4761727,14.675475206375122
39,3670.9463,3097.8364,3.5730722,15.108712229728699
40,3705.3665,3158.5894,3.5714865,13.94532105922699
41,3389.3098,3181.6611,3.4338458,14.563269562721253
42,3636.5037,3227.1453,3.5955982,14.531763434410095
43,4368.0386,3341.2346,3.5704405,15.496814641952515
44,3650.9065,3372.2017,3.6265554,14.445640878677368
45,3338.88,3368.8694,3.4881277,14.878767585754394
46,4375.9404,3469.5764,3.4474063,14.626090817451477
47,2923.5623,3414.9749,3.436647,14.130196623802185
48,4492.747,3522.752,3.5485904,15.085871925354004
49,3392.3755,3509.714,3.5747964,14.721730480194092
50,3717.4646,3530.4893,3.5720162,15.10230782032013
51,3768.384,3554.2786,3.6169112,14.952579431533813
52,4260.052,3624.8557,3.6842682,14.46261118888855
53,3772.4905,3639.6191,3.6523867,14.283561339378357
54,3906.0625,3666.2634,3.743383,15.732195138931274
55,3245.9465,3624.2317,3.8058648,14.946551475524902
56,3684.388,3630.247,4.0119348,15.148042340278625
57,3157.8884,3583.011,3.9498284,14.39298095703125
58,4005.3499,3625.2446,4.0506263,14.19822142124176
59,3875.651,3650.2852,4.1464257,14.21214435338974
60,3702.809,3655.5376,4.1423244,13.236311078071594
61,3373.1711,3627.3008,4.309977,14.710673327445983
62,3131.46,3577.7166,4.1555643,14.42038821697235
63,3554.041,3575.3489,4.4009333,14.017207338809968
64,3562.8418,3574.0981,4.385184,15.081660630702972
65,3846.113,3601.2996,4.418913,14.276795463562012
66,3523.591,3593.5286,4.4208527,13.932210459709168
67,2874.5757,3521.633,4.5278554,14.446225261688232
68,3137.9226,3483.262,4.580048,13.710758142471313
69,3133.053,3448.2412,4.613787,13.647125325202943
70,3656.354,3469.0525,4.4638753,13.606991295814515
71,3491.525,3471.2998,4.6362004,13.563986701965332
72,3386.0217,3462.772,4.6115217,13.644775700569152
73,4042.8945,3520.7842,4.825791,14.441111850738526
74,4361.368,3604.8423,4.7055693,13.682219533920287
75,3292.3567,3573.5935,4.71271,12.933077268600464
76,3516.3394,3567.8682,4.795834,12.78835916519165
77,4092.5676,3620.3381,4.7671924,12.98085693359375
78,3913.2148,3649.6257,4.662483,13.78544354915619
79,4371.86,3721.849,4.7709336,13.937401614189149
80,3938.088,3743.473,4.6829863,14.35121292591095
81,3880.5332,3757.1787,4.784462,13.060827383995056
82,3773.2896,3758.7896,4.7955427,13.249898314476013
83,4462.315,3829.1418,4.6818066,14.067034335136414
84,3913.332,3837.5608,4.5627403,12.751817846298218
85,4214.1606,3875.2207,4.565946,13.655541281700135
86,4283.8506,3916.0835,4.6146083,13.02652717590332
87,3746.806,3899.1558,4.6369796,12.909795956611633
88,4419.0293,3951.1428,4.60744,13.326492388248443
89,4420.6294,3998.0916,4.7319403,13.059591045379639
90,3714.7217,3969.7544,4.729532,12.97187938451767
91,4029.29,3975.7078,4.730416,12.987809863090515
92,4505.4277,4028.6797,4.64445,12.481399955749511
93,3920.4502,4017.8564,4.8019347,12.93916570663452
94,3792.4927,3995.32,4.639041,13.537273049354553
95,4050.9302,4000.881,4.65722,13.529710092544555
96,4170.981,4017.891,4.874417,13.126402025222779
97,4002.0679,4016.3086,4.930291,12.699260945320129
98,3961.2825,4010.806,5.0976887,13.259911155700683
99,4355.8945,4045.3147,5.196524,12.859808745384216
100,4157.313,4056.5144,5.479615,13.388307819366455
101,3811.5598,4032.0188,5.4771295,12.463551783561707
102,4459.0293,4074.7197,5.6421933,13.585079555511475
103,3419.6328,4009.211,5.6524854,12.856139461994172
104,4048.5505,4013.1448,6.0461564,13.262642464637757
105,4419.775,4053.8079,5.7247376,13.056421597003936
106,4362.1655,4084.6436,5.9008856,12.453093070983886
107,4228.534,4099.0327,5.8818827,13.271841082572937
108,4553.4155,4144.4707,5.8910346,12.911846902370453
109,4111.7056,4141.194,5.864642,12.41775728225708
110,4243.7856,4151.453,5.847193,12.366736724376679
