,state reward,moving average state reward,FMI,cmm similarity
0,-1139.7686860710382,-1139.7686860710382,0.33027341644735425,0.6796875
1,-970.1096774280072,-1122.802785206735,0.44580281682187334,0.71378094
2,-1052.9647521644831,-1115.81898190251,0.38005749853734244,0.6700611
3,-1265.000157353282,-1130.737099447587,0.25978380712982796,0.50537634
4,-1244.891581428051,-1142.1525476456336,0.34707996202455726,0.5704348
5,-1084.105743521452,-1136.3478672332155,0.39785437624815057,0.61990213
6,-1131.2829268336297,-1135.841373193257,0.424438420526457,0.6202346
7,-1028.5143981158733,-1125.1086756855186,0.32863951416704074,0.5216693
8,-1147.7553107738495,-1127.3733391943517,0.3406471322748655,0.63066953
9,-1116.5356412410736,-1126.289569399024,0.3375099764139449,0.52153844
10,-960.5450826168061,-1109.7151207208021,0.40653965901558553,0.73846155
11,-1237.34036192894,-1122.477644841616,0.41817763356640486,0.76169264
12,-1052.9002360224724,-1115.5199039597017,0.37145313473344005,0.6342857
13,-690.6225019812584,-1073.0301637618572,0.530405314158186,0.6701389
14,-946.5199055850507,-1060.3791379441766,0.4725841308031461,0.79761904
15,-932.4923682093621,-1047.5904609706952,0.4029162879963232,0.68199235
16,-1014.52698661685,-1044.2841135353108,0.3271436308758401,0.4694149
17,-1085.692368209362,-1048.424939002716,0.4726735670812334,0.79371315
18,-997.6931549906731,-1043.3517606015116,0.3979437892756831,0.57122904
19,-763.2695515215397,-1015.3435396935145,0.45600896604367774,0.643454
20,-897.6845003962517,-1003.5776357637883,0.44896982306367805,0.7079038
21,-875.9924468934537,-990.8191168767548,0.47525104328031736,0.6271605
22,-890.8420141756535,-980.8214066066448,0.44529443569097876,0.5930521
23,-841.7112509906292,-966.9103910450433,0.462931689489883,0.70616883
24,-810.0601101458074,-951.2253629551197,0.48857053037377535,0.7211094
25,-755.6113296747208,-931.6639596270799,0.48259451435261297,0.6006637
26,-1050.8349331140519,-943.5810569757771,0.49025186478388344,0.74429965
27,-890.9018095850945,-938.3131322367088,0.3749074812236247,0.5301205
28,-852.0553894579411,-929.6873579588321,0.4265959879979576,0.5667075
29,-601.1712037682533,-896.8357425397743,0.6270628803986196,0.8277202
30,-835.6278520822525,-890.7149534940221,0.4760482010576102,0.5888768
