,reward,ma_reward,avg_q,avg_loss
0,1370.1754,1370.1754,0.07547456,3.791557788848877
1,1111.7784,1344.3357,0.19279167,6.960589203834534
2,1511.046,1361.0067,0.3952653,6.656175059080124
3,1543.495,1379.2555,0.58003557,6.723232926726341
4,1488.2891,1390.1588,0.85269,6.603386998176575
5,1487.827,1399.9257,1.1241492,6.802909870147705
6,1291.7823,1389.1113,1.3226943,6.965123333930969
7,1560.7369,1406.2739,1.5688593,7.112477371692657
8,1500.9963,1415.7461,1.7845501,7.364528498649597
9,1268.7153,1401.0431,1.8311446,7.326839926242829
10,1430.2964,1403.9684,1.9262713,7.116260730028152
11,1573.4662,1420.9182,2.0277216,7.410776082277298
12,1791.1804,1457.9445,2.1561623,7.40826274394989
13,1319.048,1444.0548,2.199077,7.296851007938385
14,1382.2578,1437.8751,2.3475916,7.485219757556916
15,1797.9453,1473.8821,2.4449809,7.068286736011505
16,1688.3171,1495.3256,2.7080224,7.349047932624817
17,1654.6935,1511.2623,2.7557008,7.603706851005554
18,1605.5177,1520.6879,2.6316588,7.246357665061951
19,1670.2533,1535.6443,2.7363384,7.246297478675842
20,1539.8671,1536.0665,2.8022885,7.794836523532868
21,1441.9391,1526.6538,2.8455472,6.9886689114570615
22,1770.7026,1551.0587,2.8416514,7.602532598972321
23,1660.7793,1562.0306,2.9482934,7.303999512195587
24,1540.6234,1559.8899,3.0562992,6.9681914830207825
25,1918.8123,1595.7821,3.17729,7.100267519950867
26,1604.8125,1596.685,3.2569957,7.703895828723907
27,1675.1539,1604.5319,3.171999,7.539845826625824
28,1841.2609,1628.2047,3.1040611,6.994422478675842
29,1470.7472,1612.4589,3.0496144,7.123596462011338
30,1810.9026,1632.3031,3.0192935,7.08497124671936
31,1379.8595,1607.0587,2.9270108,7.384315285682678
32,1826.7899,1629.0317,2.9268603,7.32957091331482
33,1879.1414,1654.0427,2.9057612,7.5460587811470035
34,1467.8936,1635.4277,2.762941,7.253436510562897
35,2130.9272,1684.9777,2.679542,7.3948721134662625
36,1889.6099,1705.4408,2.8289368,7.348006765842438
37,1988.9072,1733.7875,2.808398,6.819869711399078
38,1750.7799,1735.4867,2.7767515,7.409503762722015
39,1462.7245,1708.2104,2.9626272,7.667978854179382
40,1887.3066,1726.1201,3.2146723,6.936195528507232
41,2016.9789,1755.2059,3.187561,7.860756945610047
42,1960.7667,1775.762,3.0480657,6.98064727306366
43,2431.169,1841.3026,3.0452588,7.19868412733078
44,1963.3585,1853.5082,3.2174168,7.333926417827606
45,2152.136,1883.371,3.3131397,7.5141783976554875
46,1787.5681,1873.7906,3.252991,7.287687423229218
